Manufacturer,Model,Score
Microsoft,Surface Pro X,6
iPad,7,2
Elite,x2 G4,9
HP,Elite x2 1012 G2,9
iPad,Air 3,2
iPad,Mini 5,2
Elite,X2 1013 G3,9
iPad,"Pro 11""",3
Microsoft,Surface Pro 6,1
iPad,6,2
Acer,Iconia One 7,8
Kindle,Paperwhite 3rd Generation,8
Huawei,MediaPad M2,7
HP,ElitePad 1000 G2 Teardown,7
Amazon,Fire 5th Generation,7
Huawei,MediaPad T2,6
Sony,Xperia Z4 Tablet,5
Samsung,Galaxy Tab S3,4
Microsoft,Surface Pro 5,1
iPad,"Pro 10.5""",2
LG,G Pad 7.0,8
iPad,5 Wi-Fi,2
HP,Pro x2 612 G2,9
Google,Pixel C,4
HP,Elite x2,10
iPad,"Pro 9.7""",2
iPad,"Pro 12.9""",3
Microsoft,Surface Pro 4,2
iPad,mini 4 Wi-Fi,2
Kindle,Voyage,7
Nexus,9,3
iPad,Mini 3 Wi-Fi,2
iPad,Air 2,2
Kindle,7th Generation,8
Kindle,Fire HD 6,6
Microsoft,Surface Pro 3,1
iPad,Mini 2,2
Amazon,"Kindle Fire HDX 8.9""",7
iPad,Air LTE,2
Microsoft,Surface Pro 2,1
Kindle,"Fire HDX 7""",3
Kindle,Fire HD 2013,8
Dell,XPS 10,9
Microsoft,Surface Pro,1
Amazon,"Kindle Fire HD 8.9""",5
Google,Nexus 10,6
iPad,Mini Wi-Fi,2
iPad,4 Wi-Fi,2
Microsoft,Surface,4
Kindle,Fire HD,7
Nexus,7,7
Nook,Simple Touch with GlowLight,7
Samsung,Galaxy Tab 2 7.0,8
iPad,3 4G,2
Nook,Tablet,6
Kindle,Fire,8
iPad,2 Wi-Fi EMC 2415,2
Motorola,Xoom,8
Dell,Streak,8
iPad,Wi-Fi,6
